tmdb_id,imdb_id,original_language,original_title,runtime
862,tt0114709,en,Toy Story,81
8844,tt0113497,en,Jumanji,104
15602,tt0113228,en,Grumpier Old Men,101
31357,tt0114885,en,Waiting to Exhale,127
11862,tt0113041,en,Father of the Bride Part II,106
949,tt0113277,en,Heat,170
11860,tt0114319,en,Sabrina,127
45325,tt0112302,en,Tom and Huck,97
9091,tt0114576,en,Sudden Death,106
710,tt0113189,en,GoldenEye,130
9087,tt0112346,en,The American President,106
12110,tt0112896,en,Dracula: Dead and Loving It,88
21032,tt0112453,en,Balto,78
10858,tt0113987,en,Nixon,192
1408,tt0112760,en,Cutthroat Island,119
524,tt0112641,en,Casino,178
4584,tt0114388,en,Sense and Sensibility,136
5,tt0113101,en,Four Rooms,98
9273,tt0112281,en,Ace Ventura: When Nature Calls,90
11517,tt0113845,en,Money Train,103
8012,tt0113161,en,Get Shorty,105
1710,tt0112722,en,Copycat,124
9691,tt0112401,en,Assassins,132
12665,tt0114168,en,Powder,111
451,tt0113627,en,Leaving Las Vegas,112
16420,tt0114057,en,Othello,123
9263,tt0114011,en,Now and Then,100
17015,tt0114117,en,Persuasion,104
902,tt0112682,fr,La Cité des Enfants Perdus,108
37557,tt0115012,zh,摇啊摇，摇到外婆桥,108
9909,tt0112792,en,Dangerous Minds,99
63,tt0114746,en,Twelve Monkeys,129
78802,tt0114952,fr,"Guillaumet, les ailes du courage",50
9598,tt0112431,en,Babe,89
47018,tt0112637,en,Carrington,121
687,tt0112818,en,Dead Man Walking,122
139405,tt0112286,en,Across the Sea of Time,51
33689,tt0113442,en,It Takes Two,101
9603,tt0112697,en,Clueless,97
34615,tt0112749,en,"Cry, the Beloved Country",106
31174,tt0114279,en,Richard III,104
11443,tt0112819,en,Dead Presidents,119
35196,tt0114272,en,Restoration,117
9312,tt0113855,en,Mortal Kombat,101
577,tt0114681,en,To Die For,106
11861,tt0113347,en,How To Make An American Quilt,116
807,tt0114369,en,Se7en,127
10530,tt0114148,en,Pocahontas,81
8391,tt0114916,en,When Night Is Falling,96
629,tt0114814,en,The Usual Suspects,106
117164,tt0109950,en,Guardian Angel,93
11448,tt0113819,en,Mighty Aphrodite,95
49133,tt0110299,it,Lamerica,116
26441,tt0112499,en,The Big Green,100
97406,tt0113158,en,Georgia,115
124057,tt0113541,en,Kids of the Round Table,89
9089,tt0113321,en,Home for the Holidays,103
11010,tt0110877,it,Il postino,108
99040,tt0112714,fr,Le confessionnal,100
11359,tt0113419,en,The Indian in the Cupboard,96
17182,tt0116260,en,Eye for an Eye,101
2054,tt0113862,en,Mr. Holland's Opus,137
10607,tt0116126,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89
19760,tt0118002,en,Two If by Sea,96
9536,tt0115683,en,Bio-Dome,88
11525,tt0116839,en,Lawnmower Man 2: Beyond Cyberspace,92
40628,tt0114753,en,Two Bits,85
4482,tt0113149,fr,Gazon maudit,95
10634,tt0113118,en,Friday,91
755,tt0116367,en,From Dusk Till Dawn,108
11859,tt0113010,en,Fair Game,91
28387,tt0113537,en,Kicking and Screaming,96
48750,tt0113828,fr,Les misérables,175
20927,tt0115644,en,Bed of Roses,87
36929,tt0115676,en,Big Bully,90
9102,tt0114367,en,Screamers,108
124626,tt0113973,en,Nico Icon,70
27526,tt0112744,en,The Crossing Guard,111
9623,tt0116731,en,The Juror,118
46785,tt0112445,fa,بادکنک سفید,85
400,tt0114660,en,Things to Do in Denver When You're Dead,116
880,tt0112379,nl,Antonia,102
146599,tt0114039,en,Once Upon a Time... When We Were Colored,115
188588,tt0113612,en,Last Summer in the Hamptons,108
8447,tt0112365,en,Angels and Insects,118
10534,tt0118158,en,White Squall,129
17414,tt0116151,en,Dunston Checks In,88
13997,tt0115697,en,Black Sheep,87
2086,tt0113972,en,Nick of Time,90
61548,tt0113490,en,The Journey of August King,91
9095,tt0117002,en,Mary Reilly,104
12158,tt0114825,en,Vampire in Brooklyn,100
9283,tt0115639,en,Beautiful Girls,112
9208,tt0115759,en,Broken Arrow,108
40154,tt0113403,en,A Midwinter's Tale,99
406,tt0113247,fr,La Haine,98
45549,tt0111173,en,Shopping,105
63076,tt0113283,en,Heidi Fleiss: Hollywood Madam,106
11062,tt0115907,en,City Hall,111
13685,tt0115734,en,Bottle Rocket,91
47475,tt0117102,en,Mr. Wrong,96
2045,tt0118040,en,Unforgettable,106
9614,tt0116483,en,Happy Gilmore,92
688,tt0112579,en,The Bridges of Madison County,135
11907,tt0110251,de,Keiner liebt mich,104
10874,tt0117110,en,Muppet Treasure Island,100
89333,tt0112646,en,Catwalk,95
96357,tt0113276,en,Headless Body in Topless Bar,110
197,tt0112573,en,Braveheart,177
103,tt0075314,en,Taxi Driver,114
33542,tt0113326,cn,紅番區,91
43566,tt0115645,en,Before and After,108
71754,tt0113774,en,Margaret's Museum,114
43612,tt0112556,en,Le Bonheur est dans le pré,106
51352,tt0112373,en,Anne Frank Remembered,117
16934,tt0115033,en,The Young Poisoner's Handbook,99
10324,tt0116606,en,If Lucy Fell,92
78406,tt0114536,en,Steal Big Steal Little,113
55731,tt0117427,en,Race the Sun,100
32119,tt0106473,en,The Boys of St. Vincent,90
11066,tt0103859,en,Boomerang,117
11104,tt0109424,cn,重慶森林,102
37975,tt0114808,it,L'uomo delle stelle,113
2074,tt0116324,en,Flirting with Disaster,92
27793,tt0110647,en,The NeverEnding Story III,95
44284,tt0111055,ar,صمت القصور,116
290157,tt0110217,en,Jupiter's Wife,87
110972,tt0114131,en,Pie in the Sky,95
32622,tt0112364,en,Angela,99
73067,tt0113107,it,Frankie Starlight,101
11863,tt0113451,en,Jade,95
55475,tt0114015,es,Nueba Yol,102
124636,tt0114500,en,Sonic Outlaws,87
9101,tt0116130,en,Down Periscope,92
123360,tt0113125,en,From the Journals of Jean Seberg,97
5757,tt0113756,en,Man of the Year,86
39428,tt0113952,en,The Neon Bible,91
124639,tt0114618,en,Target,122
9302,tt0118055,en,Up Close & Personal,119
11000,tt0115685,en,The Birdcage,117
249882,tt0113200,en,Gospa,125
16388,tt0112585,en,The Brothers McMullen,98
9737,tt0112442,en,Bad Boys,118
30765,tt0112342,en,The Amazing Panda Adventure,81
10474,tt0112461,en,The Basketball Diaries,102
22279,tt0112427,en,An Awfully Big Adventure,113
30157,tt0109093,en,Amateur,105
568,tt0112384,en,Apollo 13,140
